"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2007"
"01001","Autauga, AL",31748
"01003","Baldwin, AL",36945
"01005","Barbour, AL",25916
"01007","Bibb, AL",23148
"01009","Blount, AL",26260
"01011","Bullock, AL",21726
"01013","Butler, AL",26873
"01015","Calhoun, AL",29944
"01017","Chambers, AL",26600
"01019","Cherokee, AL",25897
"01021","Chilton, AL",27313
"01023","Choctaw, AL",24067
"01025","Clarke, AL",26279
"01027","Clay, AL",28116
"01029","Cleburne, AL",24686
"01031","Coffee, AL",33388
"01033","Colbert, AL",29821
"01035","Conecuh, AL",24095
"01037","Coosa, AL",25201
"01039","Covington, AL",26678
"01041","Crenshaw, AL",26583
"01043","Cullman, AL",29311
"01045","Dale, AL",30742
"01047","Dallas, AL",26192
"01049","DeKalb, AL",25117
"01051","Elmore, AL",31583
"01053","Escambia, AL",24434
"01055","Etowah, AL",28264
"01057","Fayette, AL",24295
"01059","Franklin, AL",26766
"01061","Geneva, AL",26662
"01063","Greene, AL",25213
"01065","Hale, AL",26222
"01067","Henry, AL",29106
"01069","Houston, AL",34503
"01071","Jackson, AL",28556
"01073","Jefferson, AL",41109
"01075","Lamar, AL",24068
"01077","Lauderdale, AL",29601
"01079","Lawrence, AL",24739
"01081","Lee, AL",28830
"01083","Limestone, AL",33031
"01085","Lowndes, AL",26852
"01087","Macon, AL",22321
"01089","Madison, AL",39361
"01091","Marengo, AL",28619
"01093","Marion, AL",24899
"01095","Marshall, AL",28405
"01097","Mobile, AL",30308
"01099","Monroe, AL",25777
"01101","Montgomery, AL",35426
"01103","Morgan, AL",30698
"01105","Perry, AL",23571
"01107","Pickens, AL",26790
"01109","Pike, AL",28894
"01111","Randolph, AL",26196
"01113","Russell, AL",25516
"01115","St. Clair, AL",29443
"01117","Shelby, AL",46249
"01119","Sumter, AL",23169
"01121","Talladega, AL",26379
"01123","Tallapoosa, AL",29599
"01125","Tuscaloosa, AL",31875
"01127","Walker, AL",31071
"01129","Washington, AL",26540
"01131","Wilcox, AL",22615
"01133","Winston, AL",26440
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",33051
"02016","Aleutians West Census Area, AK*",37296
"02020","Anchorage Municipality, AK",50414
"02050","Bethel Census Area, AK*",29124
"02060","Bristol Bay Borough, AK",53405
"02068","Denali Borough, AK*",49252
"02070","Dillingham Census Area, AK*",34649
"02090","Fairbanks North Star Borough, AK",41751
"02100","Haines Borough, AK",37329
"02105","Hoonah-Angoon Census Area, AK*","(NA)"
"02110","Juneau City and Borough, AK",48961
"02122","Kenai Peninsula Borough, AK",38097
"02130","Ketchikan Gateway Borough, AK*",48881
"02150","Kodiak Island Borough, AK",42316
"02158","Kusilvak Census Area, AK*",20747
"02164","Lake and Peninsula Borough, AK*",35111
"02170","Matanuska-Susitna Borough, AK",37271
"02180","Nome Census Area, AK*",32722
"02185","North Slope Borough, AK",26597
"02188","Northwest Arctic Borough, AK",32243
"02195","Petersburg Borough, AK*","(NA)"
"02198","Prince of Wales-Hyder Census Area, AK*","(NA)"
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*",28055
"02220","Sitka City and Borough, AK",43983
"02230","Skagway Municipality, AK*","(NA)"
"02231","Skagway-Yakutat-Angoon Census Area, AK*","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK*",41036
"02240","Southeast Fairbanks Census Area, AK*",35582
"02261","Valdez-Cordova Census Area, AK*",44705
"02275","Wrangell City and Borough, AK*","(NA)"
"02280","Wrangell-Petersburg Census Area, AK*",43993
"02282","Yakutat City and Borough, AK*",41299
"02290","Yukon-Koyukuk Census Area, AK*",32982
"02901","Aleutian Islands Division, AK*","(NA)"
"02903","Angoon Division, AK*","(NA)"
"02904","Barrow-North Slope Division, AK*","(NA)"
"02905","Bethel Division, AK*","(NA)"
"02907","Bristol Bay Division, AK*","(NA)"
"02908","Cordova-McCarthy Division, AK*","(NA)"
"02910","Haines Division, AK*","(NA)"
"02912","Kenai-Cook Inlet Division, AK*","(NA)"
"02916","Kuskokwim Division, AK*","(NA)"
"02919","Outer Ketchikan Division, AK*","(NA)"
"02920","Prince of Wales Division, AK*","(NA)"
"02921","Seward Division, AK*","(NA)"
"02922","Sitka Division, AK*","(NA)"
"02923","Skagway-Yakutat Division, AK*","(NA)"
"02924","Southeast Fairbanks Division, AK*","(NA)"
"02925","Upper Yukon Division, AK*","(NA)"
"02926","Valdez-Chitina-Whittier Division, AK*","(NA)"
"02928","Wrangell-Petersburg Division, AK*","(NA)"
"02929","Yukon-Koyukuk Division, AK*","(NA)"
"04001","Apache, AZ",22338
"04003","Cochise, AZ",31617
"04005","Coconino, AZ",33694
"04007","Gila, AZ",28024
"04009","Graham, AZ",23052
"04011","Greenlee, AZ",25862
"04012","La Paz, AZ*",24754
"04013","Maricopa, AZ",39561
"04015","Mohave, AZ",25138
"04017","Navajo, AZ",22773
"04019","Pima, AZ",34489
"04021","Pinal, AZ",25340
"04023","Santa Cruz, AZ",27146
"04025","Yavapai, AZ",30469
"04027","Yuma, AZ*",25882
"05001","Arkansas, AR",30690
"05003","Ashley, AR",27280
"05005","Baxter, AR",29330
"05007","Benton, AR",50040
"05009","Boone, AR",26990
"05011","Bradley, AR",26011
"05013","Calhoun, AR",22732
"05015","Carroll, AR",25419
"05017","Chicot, AR",25757
"05019","Clark, AR",25821
"05021","Clay, AR",25913
"05023","Cleburne, AR",26926
"05025","Cleveland, AR",28710
"05027","Columbia, AR",28711
"05029","Conway, AR",27575
"05031","Craighead, AR",27749
"05033","Crawford, AR",25180
"05035","Crittenden, AR",27946
"05037","Cross, AR",25591
"05039","Dallas, AR",25556
"05041","Desha, AR",27410
"05043","Drew, AR",27079
"05045","Faulkner, AR",29184
"05047","Franklin, AR",24521
"05049","Fulton, AR",20088
"05051","Garland, AR",31393
"05053","Grant, AR",28296
"05055","Greene, AR",24953
"05057","Hempstead, AR",23370
"05059","Hot Spring, AR",24643
"05061","Howard, AR",26578
"05063","Independence, AR",28538
"05065","Izard, AR",23073
"05067","Jackson, AR",23697
"05069","Jefferson, AR",26417
"05071","Johnson, AR",22266
"05073","Lafayette, AR",25284
"05075","Lawrence, AR",22983
"05077","Lee, AR",23718
"05079","Lincoln, AR",20447
"05081","Little River, AR",24734
"05083","Logan, AR",26614
"05085","Lonoke, AR",30500
"05087","Madison, AR",24564
"05089","Marion, AR",22941
"05091","Miller, AR",27727
"05093","Mississippi, AR",25672
"05095","Monroe, AR",24564
"05097","Montgomery, AR",22142
"05099","Nevada, AR",25884
"05101","Newton, AR",21192
"05103","Ouachita, AR",26590
"05105","Perry, AR",25330
"05107","Phillips, AR",25697
"05109","Pike, AR",25852
"05111","Poinsett, AR",25901
"05113","Polk, AR",22357
"05115","Pope, AR",27042
"05117","Prairie, AR",24989
"05119","Pulaski, AR",42544
"05121","Randolph, AR",24063
"05123","St. Francis, AR",21236
"05125","Saline, AR",31215
"05127","Scott, AR",21273
"05129","Searcy, AR",22491
"05131","Sebastian, AR",32237
"05133","Sevier, AR",24546
"05135","Sharp, AR",24406
"05137","Stone, AR",22752
"05139","Union, AR",38884
"05141","Van Buren, AR",22683
"05143","Washington, AR",28732
"05145","White, AR",25237
"05147","Woodruff, AR",24295
"05149","Yell, AR",24433
"06001","Alameda, CA",48545
"06003","Alpine, CA",35918
"06005","Amador, CA",33246
"06007","Butte, CA",31579
"06009","Calaveras, CA",35723
"06011","Colusa, CA",32317
"06013","Contra Costa, CA",59281
"06015","Del Norte, CA",24970
"06017","El Dorado, CA",47701
"06019","Fresno, CA",30654
"06021","Glenn, CA",29379
"06023","Humboldt, CA",32184
"06025","Imperial, CA",26088
"06027","Inyo, CA",40653
"06029","Kern, CA",29116
"06031","Kings, CA",26026
"06033","Lake, CA",29304
"06035","Lassen, CA",24910
"06037","Los Angeles, CA",42499
"06039","Madera, CA",27348
"06041","Marin, CA",90927
"06043","Mariposa, CA",33474
"06045","Mendocino, CA",34192
"06047","Merced, CA",28256
"06049","Modoc, CA",30211
"06051","Mono, CA",38288
"06053","Monterey, CA",41289
"06055","Napa, CA",48346
"06057","Nevada, CA",44876
"06059","Orange, CA",51244
"06061","Placer, CA",49177
