"st.code","cnty.code","all.poverty","poverty.lwr.bound","med.inc","med.inc.lwr","med.inc.uppr"
"01","001",720,2141,2407,2447,2389
"01","003",2569,899,1970,2035,1941
"01","005",594,1811,388,446,340
"01","007",366,1193,823,863,824
"01","009",1000,2610,1558,1530,1578
"01","011",317,1070,37,29,45
"01","013",498,1684,207,201,215
"01","015",2311,822,1017,1190,871
"01","017",717,2153,314,336,310
"01","019",476,1593,685,679,694
"01","021",787,2260,1070,1043,1106
"01","023",329,1161,395,368,426
"01","025",613,1960,530,499,560
"01","027",259,840,471,445,505
"01","029",252,775,930,847,1054
"01","031",840,2384,1703,1824,1586
"01","033",902,2452,1263,1373,1165
"01","035",384,1360,74,67,90
"01","037",197,468,362,338,400
"01","039",777,2259,492,554,451
"01","041",292,1025,343,312,383
"01","043",1380,167,863,908,867
"01","045",1086,2723,1137,1189,1070
"01","047",1447,265,38,35,38
"01","049",1685,431,495,466,524
"01","051",1086,2669,2402,2384,2437
"01","053",863,2399,587,579,588
"01","055",1929,555,857,1013,768
"01","057",342,1173,449,439,467
"01","059",722,2171,295,289,304
"01","061",630,1994,340,322,369
"01","063",281,934,36,28,44
"01","065",418,1461,258,234,284
"01","067",292,955,866,818,952
"01","069",2064,714,891,1070,774
"01","071",1144,2777,570,566,569
"01","073",12577,183,1474,1672,1297
"01","075",285,944,350,330,387
"01","077",1704,446,1045,1119,986
"01","079",549,1764,1086,1023,1151
"01","081",3775,1472,1034,1116,969
"01","083",1191,2766,2125,2133,2158
"01","085",328,1176,120,113,129
"01","087",564,1816,64,58,71
"01","089",4875,1772,2637,2672,2640
"01","091",507,1719,238,209,266
"01","093",592,1838,655,764,543
"01","095",2052,658,525,551,516
"01","097",8001,2408,1245,1418,1096
"01","099",548,1808,364,335,408
"01","101",4884,1760,1262,1355,1177
"01","103",1766,420,1497,1577,1423
"01","105",424,1509,45,53,47
"01","107",466,1556,172,161,197
"01","109",823,2374,169,218,144
"01","111",451,1488,572,595,542
"01","113",1230,18,441,472,416
"01","115",1207,2779,2066,2082,2088
"01","117",1961,581,2892,2900,2921
"01","119",469,1589,22,15,30
"01","121",1749,441,877,930,857
"01","123",863,2416,547,568,538
"01","125",3455,1282,1696,1839,1565
"01","127",1516,325,602,608,599
"01","129",307,1021,1044,1032,1082
"01","131",369,1273,16,11,22
"01","133",479,1606,434,516,378
"02","013",54,1705,2478,2385,2560
"02","016",54,1791,2876,2855,2925
"02","020",2920,1117,2957,2972,2978
"02","050",416,1466,1585,1559,1592
"02","060",8,2328,2959,2951,2998
"02","068",13,32,2894,2864,2953
"02","070",86,2286,2118,1997,2243
"02","090",901,2464,2868,2861,2904
"02","100",25,709,2859,2879,2869
"02","105",39,1311,2184,2154,2232
"02","110",250,799,3001,2983,3041
"02","122",647,2044,2785,2792,2776
"02","130",168,362,2597,2576,2648
"02","150",114,2660,2869,2856,2914
"02","164",28,947,1559,1452,1646
"02","170",1024,2629,2942,2964,2960
"02","180",250,883,1724,1639,1809
"02","185",111,2571,2962,2932,3015
"02","188",177,411,2822,2839,2837
"02","195",27,905,2547,2482,2619
"02","198",110,2596,1291,1179,1377
"02","220",75,2119,2833,2790,2901
"02","230",3,1216,2883,2851,2946
"02","240",94,2405,2672,2615,2759
"02","261",93,2412,2944,2942,2979
"02","270",284,1028,132,139,118
"02","275",28,897,2230,2102,2361
"02","282",9,2369,2271,2081,2423
"02","290",141,139,540,589,517
"04","001",2345,872,201,233,177
"04","003",2287,770,1488,1629,1361
"04","005",2715,1026,1877,1873,1894
"04","007",1268,99,649,677,630
"04","009",690,2076,1606,1597,1607
"04","011",95,2467,2665,2572,2772
"04","012",454,1474,209,185,232
"04","013",68764,2323,2374,2561,2152
"04","015",4117,1530,653,787,523
"04","017",3015,1184,426,452,410
"04","019",18359,604,1591,1834,1341
"04","021",6607,2166,1996,2148,1880
"04","023",1096,2659,624,634,626
"04","025",3358,1277,1393,1573,1217
"04","027",4411,1617,836,1017,722
"05","001",373,1301,513,526,515
"05","003",470,1615,493,529,484
"05","005",602,1888,668,696,650
"05","007",2843,1078,2578,2613,2565
"05","009",620,1932,845,895,844
"05","011",301,1046,221,200,240
"05","013",90,2390,817,756,923
"05","015",490,1592,576,681,495
"05","017",335,1160,86,76,99
"05","019",428,1432,738,721,755
"05","021",298,1019,292,279,305
"05","023",383,1321,944,898,1024
"05","025",139,90,1285,1159,1385
"05","027",536,1734,628,594,667
"05","029",379,1307,1182,1115,1255
"05","031",2197,773,1233,1294,1186
"05","033",1015,2568,1318,1377,1265
"05","035",1332,153,425,423,443
"05","037",377,1313,747,761,733
"05","039",154,182,309,294,329
"05","041",332,1151,241,215,270
"05","043",424,1487,550,535,575
"05","045",1714,423,2156,2194,2146
"05","047",306,1015,927,1045,850
"05","049",270,901,262,226,295
"05","051",1792,478,951,1090,860
"05","053",238,744,1609,1536,1683
"05","055",699,2100,1198,1156,1256
"05","057",538,1762,248,238,264
"05","059",581,1858,665,671,664
"05","061",249,751,611,687,540
"05","063",669,2088,1011,1036,1015
"05","065",275,912,222,227,228
"05","067",386,1325,203,188,214
"05","069",1804,498,469,451,497
"05","071",499,1667,382,410,371
"05","073",191,480,192,169,211
"05","075",374,1320,381,362,418
"05","077",318,1066,58,51,65
"05","079",295,1017,645,565,723
"05","081",225,646,651,577,721
"05","083",453,1578,512,484,535
"05","085",870,2396,2415,2435,2422
"05","087",280,908,795,846,764
"05","089",329,1149,251,221,278
"05","091",875,2420,983,1149,853
"05","093",1174,5,272,311,255
"05","095",210,578,122,111,131
"05","097",180,345,352,317,402
"05","099",214,589,133,117,150
"05","101",157,191,466,512,440
"05","103",561,1837,388,346,435
"05","105",175,330,945,887,1037
"05","107",695,2076,60,54,66
"05","109",216,590,565,552,572
"05","111",523,1707,462,544,406
"05","113",439,1510,246,242,259
"05","115",1086,2671,861,899,873
"05","117",152,223,855,851,915
"05","119",6189,2087,1571,1670,1480
"05","121",314,1067,660,728,594
"05","123",760,2200,111,115,111
"05","125",990,2513,2506,2501,2530
"05","127",250,800,253,263,241
"05","129",182,358,164,217,134
"05","131",2754,1058,859,953,809
"05","133",351,1197,582,569,585
"05","135",360,1223,182,174,200
"05","137",301,1038,95,101,99
"05","139",918,2532,981,946,1047
"05","141",364,1315,237,265,216
"05","143",4109,1558,1562,1648,1476
"05","145",1450,253,1148,1089,1216
"05","147",170,311,93,95,103
"05","149",374,1253,588,601,567
"06","001",19798,719,2979,3005,2973
"06","003",21,542,2316,2206,2388
"06","005",431,1440,2428,2333,2509
"06","007",4815,1767,1179,1328,1010
"06","009",605,1923,2336,2249,2401
"06","011",303,1059,1809,1770,1864
"06","013",11546,62,2997,3016,3011
"06","015",538,1728,1064,1091,1059
"06","017",2071,674,2901,2907,2934
"06","019",26138,1079,1299,1485,1115
"06","021",472,1583,1349,1241,1444
"06","023",2760,1063,947,1066,877
"06","025",4016,1468,758,769,757
"06","027",253,827,1937,1804,2099
"06","029",20660,778,1767,1900,1612
"06","031",3317,1269,1430,1419,1456
"06","033",1538,329,502,509,512
"06","035",447,1484,2008,1934,2109
"06","037",186302,685,2493,2652,2270
"06","039",3254,1208,1280,1308,1250
"06","041",2227,753,3046,3051,4
"06","043",283,937,1791,1814,1775
"06","045",1625,346,1232,1296,1181
"06","047",6458,2168,1354,1460,1266
"06","049",177,348,796,804,797
"06","051",155,210,2650,2593,2740
"06","053",7025,2254,2581,2658,2502
"06","055",1231,25,2914,2916,2941
"06","057",1119,2675,2565,2546,2600
"06","059",40025,1588,2968,2998,2967
"06","061",3049,1172,2963,2981,2975
"06","063",255,813,1802,1677,1943
"06","065",39270,1557,2558,2691,2386
"06","067",26495,1094,2502,2639,2333
"06","069",816,2352,2871,2874,2903
"06","071",42240,1659,2209,2457,1947
"06","073",46724,1797,2838,2897,2803
"06","075",10131,2722,3012,3026,3030
"06","077",14516,336,2168,2387,1945
"06","079",3804,1438,2752,2770,2747
"06","081",5658,1956,4,3062,6
"06","083",7360,2334,2771,2785,2757
"06","085",15955,425,3047,3056,3070
"06","087",4207,1582,2810,2805,2835
"06","089",2601,951,1340,1470,1220
"06","091",40,1351,1742,1566,1898
"06","093",907,2526,751,797,706
"06","095",5163,1823,2857,2875,2867
"06","097",5574,1953,2853,2880,2857
"06","099",9545,2622,2098,2345,1882
"06","101",1448,194,2193,2244,2163
"06","103",1135,2691,972,993,974
"06","105",257,806,386,403,385
"06","107",12730,190,1183,1354,1004
"06","109",717,2133,1954,1894,2043
"06","111",9591,2620,2953,2984,2957
"06","113",3949,1516,2418,2462,2391
"06","115",1569,315,1060,1028,1105
"08","001",6138,2069,2658,2745,2582
"08","003",338,1169,696,646,742
"08","005",6884,2244,2826,2868,2810
"08","007",178,360,1431,1311,1547
"08","009",71,2078,499,447,551
"08","011",127,8,423,383,482
"08","013",4029,1527,2918,2929,2935
"08","014",246,655,3022,3022,3054
"08","015",211,533,1891,1858,1944
"08","017",24,724,2237,2130,2357
"08","019",76,2162,2882,2850,2945
"08","021",188,449,304,291,325
"08","023",101,2536,57,50,61
"08","025",124,2704,211,191,231
"08","027",62,1914,1844,1685,2020
"08","029",457,1543,1522,1472,1574
"08","031",10341,2729,2445,2565,2314
"08","033",30,1041,1404,1238,1552
"08","035",1174,2755,8,2,15
"08","037",411,1375,2976,2965,3012
"08","039",140,84,3010,3013,3047
"08","041",7836,2403,2655,2739,2590
"08","043",728,2194,1057,1110,1021
"08","045",577,1844,2784,2754,2811
"08","047",45,1481,2819,2759,2883
"08","049",151,241,2661,2600,2750
"08","051",221,649,1901,1750,2069
"08","053",7,2181,2136,1953,2317
"08","055",138,81,224,189,251
"08","057",23,682,1494,1333,1639
"08","059",4548,1657,2906,2941,2893
"08","061",18,408,1180,1165,1176
"08","063",108,2613,1645,1532,1748
"08","065",115,2670,1683,1535,1821
"08","067",554,1769,2710,2718,2732
"08","069",4044,1547,2590,2638,2557
"08","071",231,636,832,826,886
"08","073",81,2236,1033,924,1168
"08","075",329,1171,1541,1403,1662
"08","077",2215,748,2019,2054,2021
"08","079",6,1896,2139,2018,2264
"08","081",143,119,2526,2399,2631
"08","083",415,1389,1395,1381,1412
"08","085",625,1981,1637,1777,1504
"08","087",371,1266,1783,1762,1781
"08","089",468,1623,243,230,258
"08","091",44,1486,2572,2469,2682
"08","093",152,165,2624,2580,2700
"08","095",49,1590,1712,1569,1830
"08","097",122,2721,2935,2904,3000
"08","099",244,741,797,743,881
"08","101",2984,1135,1056,1177,931
"08","103",70,2083,2799,2748,2842
"08","105",208,540,950,882,1058
"08","107",199,517,2850,2840,2895
"08","109",184,402,142,124,165
"08","111",11,2609,879,816,979
"08","113",77,2173,2671,2601,2767
"08","115",32,1110,1438,1415,1473
"08","117",283,974,2875,2841,2939
"08","119",220,634,2778,2692,2836
"08","121",52,1639,1583,1448,1699
